"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ncl_cg_spm2_i_inf_instr07,ncl_cg_spm2_i_inf,"Balance and Motion",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Instructions: Please answer these questions based on the </span><em>child's typical behavior during the past month</em><span style=""font-weight: normal;"">. Using the following rating scale, select the one answer that best describes how often the behavior happens.</span><br><br><em>Never</em><span style=""font-weight: normal;"">: The behavior never or almost never happens. </span><em>Occasionally</em><span style=""font-weight: normal;"">: The behavior happens some of the time. </span><em>Frequently</em><span style=""font-weight: normal;"">: The behavior happens much of the time. </span><em>Always</em><span style=""font-weight: normal;"">: The behavior always or almost always happens. </span><em>Decline to answer</em><span style=""font-weight: normal;"">: If you have never observed the behavior described or your child has not yet had an opportunity, please mark ""never"". If you prefer not to tell us about this item, please mark ""decline to answer"".</span><br><br><span style=""font-weight: normal;"">Some questions ask whether this infant or toddler shows ""distress"" in certain situations. Distress may include behaviors (whining, crying, fussing, wincing, grimacing, looking scared or upset); movements (squirming, flailing, stiffening, flinching, pushing away, sudden blinking, spreading fingers, covering ears or eyes, pulling back hand, foot, or head); or body changes (flushing, rash, sweating, change in breathing, gagging, vomiting).</span></p></div>",,,,,,,,,,,,,
ncl_cg_spm2_i_inf_balance_001,ncl_cg_spm2_i_inf,,radio,"This child shows distress when rocked or bounced.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_002,ncl_cg_spm2_i_inf,,radio,"This child fusses when lying on tummy.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_003,ncl_cg_spm2_i_inf,,radio,"This child arches, stiffens, or fusses when being swung or lifted up in the air.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_004,ncl_cg_spm2_i_inf,,radio,"This child startles or cries when moved suddenly.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_005,ncl_cg_spm2_i_inf,,radio,"This child needs intense movement to calm down.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_006,ncl_cg_spm2_i_inf,,radio,"This child needs movement to fall asleep, such as riding in a car or swinging in an infant seat.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_007,ncl_cg_spm2_i_inf,,radio,"This child seeks out intense or continuous movement, such as swinging, rocking, or bouncing.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_008,ncl_cg_spm2_i_inf,,radio,"This child fusses when head goes upside down.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_009,ncl_cg_spm2_i_inf,,radio,"This child shows distress when moved from one position to another.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_balance_010,ncl_cg_spm2_i_inf,,radio,"This child struggles to raise head when being lifted up from lying down.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_balance_m01,,
ncl_cg_spm2_i_inf_dtaalert_07,ncl_cg_spm2_i_inf,,descriptive,"Decline to answer: If you have never observed the behavior described or your child has not yet had an opportunity, please mark ""never"". If you prefer not to tell us about this item, please mark ""Decline to answer"".",,,,,,,"[ncl_cg_spm2_i_inf_balance_001] = '777' OR [ncl_cg_spm2_i_inf_balance_002] = '777' OR [ncl_cg_spm2_i_inf_balance_003] = '777' OR [ncl_cg_spm2_i_inf_balance_004] = '777' OR [ncl_cg_spm2_i_inf_balance_005] = '777' OR [ncl_cg_spm2_i_inf_balance_006] = '777' OR [ncl_cg_spm2_i_inf_balance_007] = '777' OR [ncl_cg_spm2_i_inf_balance_008] = '777' OR [ncl_cg_spm2_i_inf_balance_009] = '777' OR [ncl_cg_spm2_i_inf_balance_010] = '777'",,,,,,
ncl_cg_spm2_i_inf_instr08,ncl_cg_spm2_i_inf,"Planning and Ideas",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Instructions: Please answer these questions based on the </span><em>child's typical behavior during the past month</em><span style=""font-weight: normal;"">. Using the following rating scale, select the one answer that best describes how often the behavior happens.</span><br><br><em>Never</em><span style=""font-weight: normal;"">: The behavior never or almost never happens. </span><em>Occasionally</em><span style=""font-weight: normal;"">: The behavior happens some of the time. </span><em>Frequently</em><span style=""font-weight: normal;"">: The behavior happens much of the time. </span><em>Always</em><span style=""font-weight: normal;"">: The behavior always or almost always happens. </span><em>Decline to answer</em><span style=""font-weight: normal;"">: If you have never observed the behavior described or your child has not yet had an opportunity, please mark ""never"". If you prefer not to tell us about this item, please mark ""decline to answer"".</span><br><br><span style=""font-weight: normal;"">Some questions ask whether this infant or toddler shows ""distress"" in certain situations. Distress may include behaviors (whining, crying, fussing, wincing, grimacing, looking scared or upset); movements (squirming, flailing, stiffening, flinching, pushing away, sudden blinking, spreading fingers, covering ears or eyes, pulling back hand, foot, or head); or body changes (flushing, rash, sweating, change in breathing, gagging, vomiting).</span></p></div>",,,,,,,,,,,,,
ncl_cg_spm2_i_inf_plan_001,ncl_cg_spm2_i_inf,,radio,"This child fails to explore new ways to play with familar objects.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_002,ncl_cg_spm2_i_inf,,radio,"This child fails to initiate play with toys.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_003,ncl_cg_spm2_i_inf,,radio,"This child fails to explore new environments.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_004,ncl_cg_spm2_i_inf,,radio,"This child has difficulty climbing down from a chair, couch, or high surface.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_005,ncl_cg_spm2_i_inf,,radio,"This child has difficulty managing foods in mouth.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_006,ncl_cg_spm2_i_inf,,radio,"This child has difficulty managing liquids in mouth.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_007,ncl_cg_spm2_i_inf,,radio,"This child has difficulty maneuvering around, under, or over obstacles.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_008,ncl_cg_spm2_i_inf,,radio,"This child fails to try to imitate others' actions, such as waving goodbye.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_009,ncl_cg_spm2_i_inf,,radio,"This child has trouble accurately imitating sounds, such as blowing raspberries or saying ""mama.""","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_plan_010,ncl_cg_spm2_i_inf,,radio,"This child has trouble accurately imitating facial expressions or mouth or tongue movements.","1, Never|2, Occasionally|3, Frequently|4, Always|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,ncl_cg_spm2_i_inf_plan_m01,,
ncl_cg_spm2_i_inf_dtaalert_08,ncl_cg_spm2_i_inf,,descriptive,"Decline to answer: If you have never observed the behavior described or your child has not yet had an opportunity, please mark ""never"". If you prefer not to tell us about this item, please mark ""Decline to answer"".",,,,,,,"[ncl_cg_spm2_i_inf_plan_001] = '777' OR [ncl_cg_spm2_i_inf_plan_002] = '777' OR [ncl_cg_spm2_i_inf_plan_003] = '777' OR [ncl_cg_spm2_i_inf_plan_004] = '777' OR [ncl_cg_spm2_i_inf_plan_005] = '777' OR [ncl_cg_spm2_i_inf_plan_006] = '777' OR [ncl_cg_spm2_i_inf_plan_007] = '777' OR [ncl_cg_spm2_i_inf_plan_008] = '777' OR [ncl_cg_spm2_i_inf_plan_009] = '777' OR [ncl_cg_spm2_i_inf_plan_010] = '777'",,,,,,
ncl_cg_spm2_i_inf_copyright,ncl_cg_spm2_i_inf,,descriptive,"<p><span style=""color: #555555; font-weight: normal; font-size: 8pt;"">Material from the SPM-2 copyright © 2021 by Western Psychological Services. Format adapted by the University of California, San Diego for specific, limited research use for the ""The Healthy Brain and Child Development (HBCD) study,"" under license of the publisher, WPS (rights@wpspublish.com). No additional reproduction, in whole or in part, by any medium or for any purpose, may be made without the prior, written authorization of WPS. All rights reserved.</span></p>",,,,,,,,,,,,,
mh_cg_ibqr_lang,mh_cg_ibqr,,radio,Language,"en, English|es, Spanish",,,,,,,y,,,,," @HIDDEN @LANGUAGE-CURRENT-SURVEY"
mh_cg_ibqr_dtt,mh_cg_ibqr,,text,"Start time",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW"
mh_cg_ibqr_timestamp_start,mh_cg_ibqr,,text,"Start time (server)",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW-SERVER"
mh_cg_ibqr_location,mh_cg_ibqr,,dropdown,"Remote or on-site?","1, Remote|2, On-site",,,,,,,y,,,,," @IF([event-name][visit_start_complete] != 2, @DEFAULT='1', @DEFAULT='2') @HIDDEN"
mh_cg_ibqr_instr01,mh_cg_ibqr,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">As you read each description of the baby's behavior below, please indicate how often the baby did this </span>during the LAST WEEK (the past seven days)<span style=""font-weight: normal;""> by selecting one of the answer alternatives.</span><br /><br /><span style=""font-weight: normal;"">The <em>""Does Not Apply""</em> column is used when you did not see the baby in the situation described during the last week. For example, if the situation mentions the baby having to wait for food or liquids and there was no time during the last week when the baby had to wait, select <em>""Does Not Apply""</em>.</span><br /><br /><span style=""font-weight: normal;""><em>""Does Not Apply""</em> is different from <em>""Never""</em>. <em>""Never""</em> is used when you saw the baby in the situation but the baby never engaged in the behavior listed during the last week. For example, if the baby did have to wait for food or liquids at least once but never cried loudly while waiting, select <em>""Never""</em>.</span><br /><br /><span style=""font-weight: normal;"">Please be sure select an answer for every item.</span></p></div>",,,,,,,,,,,,,
mh_cg_ibqr_surg_001,mh_cg_ibqr,,radio,"When being dressed or undressed during the last week, how often did the baby squirm and/or try to roll away?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_002,mh_cg_ibqr,,radio,"When tossed around playfully how often did the baby laugh?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_001,mh_cg_ibqr,,radio,"When tired, how often did your baby show distress?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_i_neg_001,mh_cg_ibqr,,radio,"When introduced to an unfamiliar adult, how often did the baby cling to a parent/caregiver?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_001,mh_cg_ibqr,,radio,"How often during the last week did the baby enjoy being read to?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_002,mh_cg_ibqr,,radio,"How often during the last week did the baby play with one toy or object for 5-10 minutes?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_003,mh_cg_ibqr,,radio,"How often during the week did your baby move quickly toward new objects?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_004,mh_cg_ibqr,,radio,"When put into the bath water, how often did the baby laugh?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_002,mh_cg_ibqr,,radio,"When it was time for bed or a nap and your baby did not want to go, how often did the baby whimper or sob?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_003,mh_cg_ibqr,,radio,"After sleeping, how often did the baby cry if someone doesn't come within a few minutes?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_003,mh_cg_ibqr,,radio,"In the last week, while being fed in your lap, how often did the baby seem eager to get away as soon as the feeding was over?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_004,mh_cg_ibqr,,radio,"When singing or talking to your baby, how often did the baby soothe immediately?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_005,mh_cg_ibqr,,radio,"When placed on their back, how often did the baby squirm and/or turn body?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_006,mh_cg_ibqr,,radio,"During a peekaboo game, how often did the baby laugh?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_007,mh_cg_ibqr,,radio,"How often does the infant look up from playing when the telephone rings?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_004,mh_cg_ibqr,,radio,"How often did the baby seem angry (crying and fussing) when you left the baby in the crib?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_005,mh_cg_ibqr,,radio,"How often during the last week did the baby startle at a sudden change in body position (e.g., when moved suddenly)?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_005,mh_cg_ibqr,,radio,"How often during the last week did the baby enjoy hearing the sound of words, as in nursery rhymes?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_006,mh_cg_ibqr,,radio,"How often during the last week did the baby look at pictures in books and/or magazines for 5 minutes or longer at a time?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_008,mh_cg_ibqr,,radio,"When visiting a new place, how often did your baby get excited about exploring new surroundings?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_009,mh_cg_ibqr,,radio,"How often during the last week did the baby smile or laugh when given a toy?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_006,mh_cg_ibqr,,radio,"At the end of an exciting day, how often did your baby become tearful?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_007,mh_cg_ibqr,,radio,"How often during the last week did the baby protest being placed in a confining place (infant seat, play pen, car seat, etc.)?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_007,mh_cg_ibqr,,radio,"When being held, in the last week, did your baby seem to enjoy themself?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_008,mh_cg_ibqr,,radio,"When showing the baby something to look at, how often did the baby soothe immediately?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_010,mh_cg_ibqr,,radio,"When hair was washed, how often did the baby vocalize?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_011,mh_cg_ibqr,,radio,"How often did your baby notice the sound of an airplane passing overhead?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_i_neg_002,mh_cg_ibqr,,radio,"When introduced to an unfamiliar adult, how often did the baby refuse to go to the unfamiliar person?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_008,mh_cg_ibqr,,radio,"When you were busy with another activity, and your baby was not able to get your attention, how often did the baby cry?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_009,mh_cg_ibqr,,radio,"How often during the last week did the baby enjoy gentle rhythmic activities, such as rocking or swaying?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_010,mh_cg_ibqr,,radio,"How often during the last week did the baby stare at a mobile, crib bumper or picture for 5 minutes or longer?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_neg_009,mh_cg_ibqr,,radio,"When the baby wanted something, how often did the baby become upset when they could not get what they wanted?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_i_neg_003,mh_cg_ibqr,,radio,"When in the presence of several unfamiliar adults, how often did the baby cling to a parent/caregiver?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_011,mh_cg_ibqr,,radio,"When rocked or hugged, in the last week, did your baby seem to enjoy themself?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_efrt_012,mh_cg_ibqr,,radio,"When patting or gently rubbing some part of the baby's body, how often did the baby soothe immediately?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_012,mh_cg_ibqr,,radio,"How often did your baby make talking sounds when riding in a car?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_surg_013,mh_cg_ibqr,,radio,"When placed in an infant seat or car seat, how often did the baby squirm and turn body?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_001,mh_cg_ibqr,,radio,"When introduced to an unfamiliar adult, how often did the baby hang back from the adult?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_002,mh_cg_ibqr,,radio,"When introduced to an unfamiliar adult, how often did the baby never ""warm up"" to the unfamiliar adult?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_003,mh_cg_ibqr,,radio,"When in the presence of several unfamiliar adults, how often did the baby cry?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_004,mh_cg_ibqr,,radio,"When in the presence of several unfamiliar adults, how often did the baby continue to be upset for 10 minutes or longer?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_005,mh_cg_ibqr,,radio,"When visiting a new place, how often did the baby show distress for the first few minutes?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_006,mh_cg_ibqr,,radio,"When visiting a new place, how often did the baby continue to be upset for 10 minutes or longer?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
mh_cg_ibqr_beh_007,mh_cg_ibqr,,radio,"When your baby was approached by an unfamiliar person when you and your baby were out (for example, shopping), how often did the baby show distress?","1, Never|2, Very Rarely|3, Less Than Half the Time|4, About Half the Time|5, More than Half the Time|6, Almost Always|7, Always|8, Does Not Apply|777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,mh_cg_ibqr_m01,,
