ParameterTypeID	Name	Alias	Type	Description	RangeMin	RangeMax	SourceField	SourceFrom	SourceCondition	Queryable	IsFile
209	dicom_0x0018:el_0x0081	\N	text	dicom_0x0018:el_0x0081 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
210	dicom_0x0051:el_0x1013	\N	text	dicom_0x0051:el_0x1013 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
211	percent_sampling	PercentSampling	text	Fraction of acquisition matrix lines acquired, expressed as a percent. DICOM:0018_0093	\N	\N	\N	parameter_file	\N	0	0
212	acquisition:injection_month	\N	text	acquisition:injection_month magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
213	image_orientation_patient	ImageOrientationPatientDICOM	text	The direction cosines of the first row and the first column with respect to the patient. DICOM:0020_0037	\N	\N	\N	parameter_file	\N	0	0
214	dicom_0x0021:el_0x1340	\N	text	dicom_0x0021:el_0x1340 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
215	acquisition:injection_dose	\N	text	acquisition:injection_dose magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
216	instance_number	InstanceNumber	text	A number that identifies this SOP Instance. DICOM:0020_0013	\N	\N	\N	parameter_file	\N	0	0
217	dicom_0x0018:el_0x9087	\N	text	dicom_0x0018:el_0x9087 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
218	yspace:spacetype	\N	text	yspace:spacetype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
219	echo_train_length	EchoTrainLength	text	Number of lines in k-space acquired per excitation of the same volume regardless of the type of echo or the number of frames derived from them. DICOM:0018_0091	\N	\N	\N	parameter_file	\N	0	0
220	patient:varid	\N	text	patient:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
221	xspace:vartype	\N	text	xspace:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
222	yspace:direction_cosines	\N	text	yspace:direction_cosines magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
223	dicom_0x0021:el_0x1370	\N	text	dicom_0x0021:el_0x1370 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
224	study:vartype	\N	text	study:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
225	zspace	\N	text	zspace magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
226	dicom_0x0018:el_0x1314	\N	text	dicom_0x0018:el_0x1314 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
227	dicom_0x0019:vartype	\N	text	dicom_0x0019:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
228	zstep	\N	text	zstep magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
229	dicom_0x0008:el_0x0008	\N	text	dicom_0x0008:el_0x0008 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
230	zspace:length	\N	text	zspace:length magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
231	zspace:varid	\N	text	zspace:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
232	bits_stored	BitsStored	text	Number of bits stored for each pixel sample. Each sample shall have the same number of bits stored. See PS 3.5 for further explanation. DICOM:0028_0101	\N	\N	\N	parameter_file	\N	0	0
233	acquisition:num_phase_enc_steps	\N	text	acquisition:num_phase_enc_steps magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
234	protocol_name	ProtocolName	text	Description of the conditions under which the Series was performed. DICOM:0018_1030	\N	\N	\N	parameter_file	\N	0	0
235	series_description	SeriesDescription	text	User provided description of the Series. DICOM:0008_103E	\N	\N	\N	parameter_file	\N	0	0
236	magnetic_field_strength	MagneticFieldStrength	text	Nominal field strength of MR magnet in Tesla. DICOM:0018_0087	\N	\N	\N	parameter_file	\N	0	0
237	dicom_0x0051:el_0x1016	\N	text	dicom_0x0051:el_0x1016 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
239	dicominfo:vartype	\N	text	dicominfo:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
240	dicom_0x0020:el_0x1002	ImagesInAcquisition	text	Number of images that resulted from this acquisition of data. DICOM:0020_1002	\N	\N	\N	parameter_file	\N	0	0
241	dicom_0x0040:vartype	\N	text	dicom_0x0040:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
242	dicom_0x0019:el_0x1012	\N	text	dicom_0x0019:el_0x1012 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
243	acquisition:echo_number	\N	text	acquisition:echo_number magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
244	yspace:spacing	\N	text	yspace:spacing magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
245	dicom_0x0018:el_0x0025	AngioFlag	text	Angio Image Indicator. Primary image for Angio processing. Enumerated Values: Y Image is Angio N Image is not Angio. DICOM:0018_0025	\N	\N	\N	parameter_file	\N	0	0
246	dicom_0x0018:el_0x9075	DiffusionDirectionality	text	Specifies whether diffusion conditions for the frame are directional, or isotropic with respect to direction. DICOM:0018_9075	\N	\N	\N	parameter_file	\N	0	0
247	dicom_0x0051:varid	\N	text	dicom_0x0051:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
248	acquisition:imaging_frequency	\N	text	acquisition:imaging_frequency magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
249	acquisition:echo_train_length	\N	text	acquisition:echo_train_length magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
250	dicom_0x0008:varid	\N	text	dicom_0x0008:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
251	study_instance_uid	StudyInstanceUID	text	Unique identifier for the Study. DICOM:0020_000D	\N	\N	\N	parameter_file	\N	0	0
252	study:version	\N	text	study:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
253	pixel_spacing	PixelSpacing	text	Physical distance in the patient between the center of each pixel, specified by a numeric pair - adjacent row spacing (delimiter) adjacent column spacing in mm. DICOM:0028_0030	\N	\N	\N	parameter_file	\N	0	0
254	dicom_0x0029:el_0x1018	\N	text	dicom_0x0029:el_0x1018 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
255	ystep	\N	text	ystep magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
256	dicom_0x0023:el_0x0009	\N	text	dicom_0x0023:el_0x0009 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
257	yspace:step	\N	text	yspace:step magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
258	patient:weight	PatientWeight	text	Weight of the patient in kilograms. DICOM:0010_1030	\N	\N	\N	parameter_file	\N	0	0
259	variable_flip_angle_flag	VariableFlipAngle	text	Flip angle variation applied during image acquisition. DICOM:0018_1315	\N	\N	\N	parameter_file	\N	0	0
260	dicom_0x0051:el_0x1015	\N	text	dicom_0x0051:el_0x1015 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
261	dicom_0x0021:el_0x1330	\N	text	dicom_0x0021:el_0x1330 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
262	dicom_0x0021:vartype	\N	text	dicom_0x0021:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
263	dicom_0x0010:el_0x1030	PatientWeight	text	Weight of the patient in kilograms. DICOM:0010_1030	\N	\N	\N	parameter_file	\N	0	0
264	patient:vartype	\N	text	patient:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
265	imaging_frequency	ImagingFrequency	text	Precession frequency in MHz of the nucleus being imaged. DICOM:0018_0084	\N	\N	\N	parameter_file	\N	0	0
266	dicom_0x0032:varid	\N	text	dicom_0x0032:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
267	dicom_0x0051:el_0x1008	\N	text	dicom_0x0051:el_0x1008 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
268	xspace:varid	\N	text	xspace:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
269	patient:version	\N	text	patient:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
270	acquisition:flip_angle	FlipAngle	text	Steady state angle in degrees to which the magnetic vector is flipped from the magnetic vector of the primary field. DICOM:0018_1314	\N	\N	\N	parameter_file	\N	0	0
271	acquisition:injection_volume	\N	text	acquisition:injection_volume magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
272	study:manufacturer	\N	text	study:manufacturer magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
273	yspace:vartype	\N	text	yspace:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
274	dicominfo:varid	\N	text	dicominfo:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
275	zspace:direction_cosines	\N	text	zspace:direction_cosines magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
276	dicom_0x0019:el_0x100b	\N	text	dicom_0x0019:el_0x100b magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
277	tarchiveLocation	\N	text	tarchiveLocation magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
278	patient:full_name	\N	text	patient:full_name magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
279	series_instance_uid	SeriesInstanceUID	text	Unique identifier for the Series that is part of the Study identified in Study Instance UID (0020,000D), if present, and contains the referenced object instance(s). DICOM:0020_000E	\N	\N	\N	parameter_file	\N	0	0
280	yspace:varid	\N	text	yspace:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
281	dicom_0x0019:el_0x1018	\N	text	dicom_0x0019:el_0x1018 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
282	study:software_version	\N	text	study:software_version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
283	acquisition:window_width	\N	text	acquisition:window_width magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
284	acquisition:series_description	\N	text	acquisition:series_description magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
285	dicom_0x0051:el_0x1017	\N	text	dicom_0x0051:el_0x1017 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
286	xspace:spacing	\N	text	xspace:spacing magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
287	yspace:length	\N	text	yspace:length magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
288	acquisition:acquisition_id	\N	text	acquisition:acquisition_id magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
289	smallest_pixel_image_value	SmallestPixelImageValue	text	The minimum actual pixel value encountered in this image. DICOM:0028_0106	\N	\N	\N	parameter_file	\N	0	0
290	min:vartype	\N	text	min:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
291	dicom_0x0019:el_0x1008	\N	text	dicom_0x0019:el_0x1008 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
292	image:version	\N	text	image:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
293	dimnames	\N	text	dimnames magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
294	check_nii_filename	\N	text	check_nii_filename magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
295	acquisition:inversion_time	\N	text	acquisition:inversion_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
296	inversion_time	InversionTime	text	Time in msec after the middle of inverting RF pulse to middle of excitation pulse to detect the amount of longitudinal magnetization. Required if Scanning Sequence (0018,0020) has values of IR. DICOM:0018_0082	\N	\N	\N	parameter_file	\N	0	0
297	dicom_0x0018:el_0x0022	ScanOptions	text	Parameters of scanning sequence. DICOM:0018_0022	\N	\N	\N	parameter_file	\N	0	0
298	dicom_0x0018:el_0x0082	\N	text	dicom_0x0018:el_0x0082 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
299	time:version	\N	text	time:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
300	dicom_0x0023:el_0x0005	\N	text	dicom_0x0023:el_0x0005 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
301	acquisition:b_matrix	\N	text	acquisition:b_matrix magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
302	time:dimorder	\N	text	time:dimorder magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
303	dicom_0x0021:el_0x1160	\N	text	dicom_0x0021:el_0x1160 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
304	dicom_0x0023:el_0x0004	\N	text	dicom_0x0023:el_0x0004 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
305	dicom_0x0023:el_0x0002	\N	text	dicom_0x0023:el_0x0002 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
306	time:alignment	\N	text	time:alignment magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
307	dicom_0x0020:el_0x0100	TemporalPositionIdentifier	text	Temporal order of a dynamic or functional set of Images. DICOM:0020_0100	\N	\N	\N	parameter_file	\N	0	0
308	time:varid	\N	text	time:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
309	dicom_0x0019:el_0x100a	\N	text	dicom_0x0019:el_0x100a magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
310	time:length	\N	text	time:length magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
311	dicom_0x0008:el_0x9209	AcquisitionContrast	text	Indication of acquisition contrast used with frames in the SOP Instance. DICOM:0008_9209	\N	\N	\N	parameter_file	\N	0	0
312	time:spacing	\N	text	time:spacing magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
313	time:step	\N	text	time:step magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
314	dicom_0x0023:el_0x0001	\N	text	dicom_0x0023:el_0x0001 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
315	acquisition:b_value	\N	text	acquisition:b_value magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
316	dicom_0x0019:el_0x100c	\N	text	dicom_0x0019:el_0x100c magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
317	acquisition:direction_z	\N	text	acquisition:direction_z magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
318	dicom_0x0023:el_0x000b	\N	text	dicom_0x0023:el_0x000b magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
319	dicom_0x0019:el_0x1028	\N	text	dicom_0x0019:el_0x1028 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
320	acquisition:bvalues	\N	text	acquisition:bvalues magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
321	dicom_0x0019:el_0x1029	\N	text	dicom_0x0019:el_0x1029 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
322	time:vartype	\N	text	time:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
323	dicom_0x0019:el_0x100d	\N	text	dicom_0x0019:el_0x100d magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
324	acquisition:direction_x	\N	text	acquisition:direction_x magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
325	time:start	\N	text	time:start magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
326	dicom_0x0021:el_0x1342	\N	text	dicom_0x0021:el_0x1342 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
327	time:units	\N	text	time:units magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
328	acquisition_time	AcquisitionTime	text	The time the acquisition of data that resulted in this image started. DICOM:0008_0032	\N	\N	\N	parameter_file	\N	0	0
329	acquisition:acquisition_time	\N	text	acquisition:acquisition_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
330	acquisition:direction_y	\N	text	acquisition:direction_y magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
331	dicom_0x0018:el_0x1090	CardiacNumberOfImages	text	Number of images per cardiac cycle. DICOM:0018_1090	\N	\N	\N	parameter_file	\N	0	0
332	dicom_0x0023:el_0x0003	\N	text	dicom_0x0023:el_0x0003 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
333	dicom_0x0023:el_0x0007	\N	text	dicom_0x0023:el_0x0007 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
334	time	\N	text	time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
335	check_bval_filename	\N	text	check_bval_filename magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
336	check_bvec_filename	\N	text	check_bvec_filename magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
337	dicom_0x0028:el_0x0006	PlanarConfiguration	text	Indicates whether the pixel data are encoded color-by-plane or color-by-pixel. DICOM:0028_0006	\N	\N	\N	parameter_file	\N	0	0
338	dicom_0x0018:el_0x1012	\N	text	dicom_0x0018:el_0x1012 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
339	dicom_0x0008:el_0x0064	ConversionType	text	Describes the kind of image conversion. DICOM:0008_0064	\N	\N	\N	parameter_file	\N	0	0
340	dicom_0x0020:el_0x0020	PatientOrientation	text	Patient direction of the rows and columns of the image. DICOM:0020_0020	\N	\N	\N	parameter_file	\N	0	0
341	dicom_0x0018:el_0x1014	\N	text	dicom_0x0018:el_0x1014 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
342	check_pic_filename	\N	text	check_pic_filename magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
343	dicom_0x0008:el_0x1120	\N	text	dicom_0x0008:el_0x1120 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
344	dicom_0x0040:el_0x0275	\N	text	dicom_0x0040:el_0x0275 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
345	dicom_0x0008:el_0x1032	ProcedureCodeSequence	text	A Sequence that conveys the type of procedure performed. DICOM:0008_1032	\N	\N	\N	parameter_file	\N	0	0
346	dicom_0x0010:el_0x1020	PatientHeight	text	Patient's height or length in meters. DICOM:0010_1020	\N	\N	\N	parameter_file	\N	0	0
347	dicom_0x0008:el_0x1110	\N	text	dicom_0x0008:el_0x1110 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
348	dicom_0x0032:el_0x1064	StudyInstance	text	A sequence that conveys the requested procedure. One or more Items may be included in this Sequence. DICOM:0032_1064	\N	\N	\N	parameter_file	\N	0	0
349	dicom_0x0008:el_0x0050	\N	text	dicom_0x0008:el_0x0050 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
350	dicom_0x0040:el_0x0244	\N	text	dicom_0x0040:el_0x0244 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
351	study:start_date	\N	text	study:start_date magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
352	study:start_time	\N	text	study:start_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
353	image_date	ContentDate	text	The date the data creation was started. For instance, this is the date the pixel data is created, not the date the data is acquired. DICOM:0008_0023	\N	\N	\N	parameter_file	\N	0	0
354	acquisition_date	AcquisitionDate	text	The date the acquisition of data that resulted in this image started. DICOM:0008_0022	\N	\N	\N	parameter_file	\N	0	0
355	dicom_0x0008:el_0x0018	\N	text	dicom_0x0008:el_0x0018 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
356	dicom_0x0040:el_0x0245	\N	text	dicom_0x0040:el_0x0245 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
357	series_date	SeriesDate	text	Date the Series started. DICOM:0008_0021	\N	\N	\N	parameter_file	\N	0	0
358	dicom_0x0008:el_0x0013	\N	text	dicom_0x0008:el_0x0013 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
359	image_time	ContentTime	text	The time the data creation was started. For instance, this is the time the pixel data is created, not the time the data is acquired. DICOM:0008_0033	\N	\N	\N	parameter_file	\N	0	0
360	study:serial_no	\N	text	study:serial_no magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
361	series_time	SeriesTime	text	Time the Series started. DICOM:0008_0031	\N	\N	\N	parameter_file	\N	0	0
362	study_date	StudyDate	text	Date the Study started. DICOM:0008_0020	\N	\N	\N	parameter_file	\N	0	0
363	dicom_0x0008:el_0x0012	\N	text	dicom_0x0008:el_0x0012 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
364	study_time	StudyTime	text	Time the Study started. DICOM:0008_0030	\N	\N	\N	parameter_file	\N	0	0
365	acquisition:image_time	\N	text	acquisition:image_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
366	device_serial_number	DeviceSerialNumber	text	Manufacturer's serial number of the device. DICOM:0018_1000	\N	\N	\N	parameter_file	\N	0	0
367	frame_of_reference_uid	FrameOfReferenceUID	text	Uniquely identifies the frame of reference for a Series. shall be used to uniquely identify a frame of reference for a series. Each series shall have a single Frame of Reference UID. However, multiple Series within a Study may share a Frame of Reference. DICOM:0020_0052	\N	\N	\N	parameter_file	\N	0	0
368	acquisition:series_time	\N	text	acquisition:series_time magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
369	SNR	\N	text	SNR magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
370	acquisition:comments	\N	text	acquisition:comments magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
371	dicom_0x0029:el_0x0012	\N	text	dicom_0x0029:el_0x0012 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
372	dicom_0x0029:el_0x1260	\N	text	dicom_0x0029:el_0x1260 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
373	image_comments	ImageComments	text	User-defined comments about the image. DICOM:0020_4000	\N	\N	\N	parameter_file	\N	0	0
374	dicom_0x0032:el_0x4000	\N	text	dicom_0x0032:el_0x4000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
375	dicom_0x0010:el_0x2150	\N	text	dicom_0x0010:el_0x2150 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
376	dicom_0x0010:el_0x21c0	\N	text	dicom_0x0010:el_0x21c0 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
377	dicom_0x0010:el_0x21a0	\N	text	dicom_0x0010:el_0x21a0 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
378	dicom_0x0010:el_0x2160	\N	text	dicom_0x0010:el_0x2160 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
379	dicom_0x0088:varid	\N	text	dicom_0x0088:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
380	dicom_0x0088:vartype	\N	text	dicom_0x0088:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
381	dicom_0x0088:el_0x0140	\N	text	dicom_0x0088:el_0x0140 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
382	dicom_0x0088:el_0x0000	\N	text	dicom_0x0088:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
383	dicom_0x0010:el_0x2110	\N	text	dicom_0x0010:el_0x2110 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
384	dicom_0x0032:el_0x1033	\N	text	dicom_0x0032:el_0x1033 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
385	dicom_0x0032:el_0x000a	\N	text	dicom_0x0032:el_0x000a magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
386	dicom_0x0010:el_0x2000	\N	text	dicom_0x0010:el_0x2000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
387	dicom_0x0010:el_0x0032	\N	text	dicom_0x0010:el_0x0032 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
388	dicom_0x0028:el_0x1053	RescaleSlope	text	m in the equation specified by Rescale Intercept (0028,1052). DICOM:0028_1053	\N	\N	\N	parameter_file	\N	0	0
389	dicom_0x0028:el_0x1054	RescaleType	text	Specifies the output units of Rescale Slope (0028,1053) and Rescale Intercept (0028,1052). DICOM:0028_1054	\N	\N	\N	parameter_file	\N	0	0
390	dicom_0x0028:el_0x1052	RescaleIntercept	text	The value b in relationship between stored values (SV) and pixel value units (U) defined in Units (0054,1001): U = m*SV+b. DICOM:0028_1052	\N	\N	\N	parameter_file	\N	0	0
391	dicom_0x0031:el_0x1001	\N	text	dicom_0x0031:el_0x1001 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
392	dicom_0x0038:vartype	\N	text	dicom_0x0038:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
393	dicom_0x0031:el_0x1000	\N	text	dicom_0x0031:el_0x1000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
394	dicom_0x0038:varid	\N	text	dicom_0x0038:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
395	dicom_0x0010:el_0x21b0	\N	text	dicom_0x0010:el_0x21b0 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
396	dicom_0x0031:el_0x0010	\N	text	dicom_0x0031:el_0x0010 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
397	dicom_0x0040:el_0x1001	\N	text	dicom_0x0040:el_0x1001 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
398	dicom_0x0008:el_0x1060	\N	text	dicom_0x0008:el_0x1060 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
399	dicom_0x0032:el_0x000c	\N	text	dicom_0x0032:el_0x000c magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
400	dicom_0x0033:el_0x100c	\N	text	dicom_0x0033:el_0x100c magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
401	dicom_0x0031:el_0x0000	\N	text	dicom_0x0031:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
402	dicom_0x0033:varid	\N	text	dicom_0x0033:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
403	dicom_0x0033:el_0x100e	\N	text	dicom_0x0033:el_0x100e magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
404	dicom_0x0038:el_0x0300	\N	text	dicom_0x0038:el_0x0300 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
405	dicom_0x0033:el_0x1016	\N	text	dicom_0x0033:el_0x1016 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
406	dicom_0x0010:el_0x1081	\N	text	dicom_0x0010:el_0x1081 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
407	dicom_0x0032:el_0x1030	\N	text	dicom_0x0032:el_0x1030 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
408	dicom_0x0038:el_0x0000	\N	text	dicom_0x0038:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
409	dicom_0x0033:vartype	\N	text	dicom_0x0033:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
410	dicom_0x0033:el_0x0000	\N	text	dicom_0x0033:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
411	dicom_0x0033:el_0x1019	\N	text	dicom_0x0033:el_0x1019 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
